nombre_propietario,cedula,telefono,correo,direccion,placa,id,codigo_interno,fecha_registro,año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
,917570260,3204050683,esperanzavega667@gmail.com,"Diagonal 8 #53-3, Armenia",BWG-592,3103,CDA-28357,06/04/2020,2015.0,336.339,1800 cc,Honda,Electrico,Automatio,,público,urbano,no,false,no,false,no,0,true,1
Felipe Ramos,604941160,3123700998,felipe-ramos680@correo.com,"Carrera 65 #79-93, Pasto",LWM536,3166,CDA-51328,2024/11/11,2007.0,201k,1800,Mitsubishi,Gas,automatica,4X4,público,mixto,no,,si,false,1,false,true,1
Esperanza Vega,269141315,3005021980,,"Carrera 28 #76-81, Pasto",FSA349,1930,CDA-77315,28/10/2021,2011.0,515938,1300,Mazda,eléctrico,cvt,RWD,Escolar,URBANO,true,false,,false,,no,no,1
Natalia Reyes,720275500,,natalia_reyes728@correo.com,"Avenida 98 #60-53, Villavicencio",FCX716,1949,CDA-68874,01-11-2023,2002.0,210039,2100,Nissan,GAS,Tiptronic,RWD,Publico,Suburbano,no,true,false,true,no,0,0,1
,707691268,3208172898,roberto.nieto526@hotmail.com,"Avenida 23 #21-78, Ibagué",QLV521,2402,CDA-95115,2020-05-13,2003.0,552k,3000,Honda,Gas Natural,MANUAL,4x2,escolar,Rural,true,true,si,false,1,no,false,1
Omar Leal,672097298,3507019734,omar_leal524@gmail.com,"Calle 25 #17-50, Bucaramanga",FVY208,1351,CDA-63836,12/01/2022,2003.0,204k,2000 cc,Volkswagen,gasolina,Automática,4x4,PARTICULAR,URBANO,si,false,si,true,true,0,no,1
Jhon Morales,521548364,3151897742,jhon_morales158@live.com,"Diagonal 50 #87-31, Cúcuta",FZA767,1466,CDA-64491,20/01/2021,2020.0,117k,1000cc,Nissan,GSL,automatica,4X4,TAXI,mixto,si,no,no,no,si,0,0,0
Iván Salcedo,1083452432,3043435784,iván-salcedo750@hotmail.com,"Carrera 16 #88-90, Cartagena",TDC761,240,CDA-33685,2024-12-04,1997.0,847k,4000,Honda,eléctrico,Automática,,carga,suburbano,si,0,,false,si,no,,1
Guillermo Ávila,,3056360810,guillermoávila821@hotmail.com,"Diagonal 62 #62-28, Medellín",OQW068,204,CDA-72611,25/10/2018,2007.0,559.359 km,1600,Nissan,diesel,autom,4x2,taxi,Rural,si,false,no,1,si,false,,1
Ana Gómez,389882832,3045491008,ana.gómez320@outlook.com,"Calle 25 #40-3, Ibagué",CHQ839,3187,CDA-74858,2020-08-10,2000.0,292.5k km,1300,chevrolet,Gas,MANUAL,rwd,PARTICULAR,mixto,no,false,0,no,false,0,si,0
José Hernández,808550933,3005033572,,"Carrera 82 #31-33, Barranquilla",SQE125,3133,CDA-48801,2022/09/19,2012.0,266036,1300,Suzuki,Híbrido,semiautomatica,RWD,Carga,Urbano,false,si,true,no,si,no,no,1
Claudia Vargas,183662221,3138709401,claudia.vargas991@yahoo.com,"Transversal 68 #83-85, Ibagué",TQA 871,946,CDA-41219,2019/05/26,2005.0,193.507,2250,Renault,Gas,Automática,4x4,particular,Mixto,yes,no,false,no,1,,no,1
Gloria Mendoza,52870510,3122571948,gloria-mendoza239@yahoo.com,"Diagonal 63 #68-5, Cali",QAS812,2016,CDA-96059,27/01/2024,2011.0,306k,3600,Peugeot,gas,,4x4,TAXI,suburbano,0,,false,1,false,no,false,1
Catalina Ortiz,822795012,3016569801,catalina.ortiz635@hotmail.com,"Transversal 28 #87-8, Ibagué",INK886,858,CDA-11285,2018-05-16,2004.0,570712,1500,Hyundai,Gasolina,cvt,FWD,público,urbano,yes,no,si,true,,no,si,1
Sebastián Cruz,426662346,3183990484,sebastiáncruz224@gmail.com,"Avenida 117 #97-95, Villavicencio",MTI243,922,CDA-65905,26/04/2018,2013.0,114k,2400 cc,Kia,Gas,AUTOMATICA,fwd,PARTICULAR,urbano,false,no,no,,no,false,no,0
